Name,SMILES,IC50_uM
LLK203,COc1ccc(C(=O)Nc2nc(-c3ccccc3)cs2)c(NS(=O)(=O)c2ccc(-c3ccc(C)s3)cc2)c1,0.52
LLK202,O=C(Nc1nc(-c2ccccc2)cs1)c1ccc(C(F)(F)F)cc1NS(=O)(=O)c1ccc(-c2ccccc2)cc1,1.5
LLK209,COc1ccc(C(=O)Nc2nnc(-c3ccccc3)s2)c(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)c1,1.6
LLK208,O=C(Nc1nnc(-c2ccccc2)s1)c1ccc(C(F)(F)F)cc1NS(=O)(=O)c1ccc(-c2ccccc2)cc1,2.8
LLK207,COc1ccc(C(=O)Nc2nc3ccccc3s2)c(NS(=O)(=O)c2cccc3ccccc23)c1,2.9
LLK105,COc1ccc(C(=O)Nc2nc(-c3ccccc3)cs2)c(NS(=O)(=O)c2ccc(Br)cc2)c1,3.8
LLK109,COc1ccc(C(=O)Nc2nnc(-c3ccccc3)s2)c(NS(=O)(=O)c2cccnc2)c1,4.3
ML364,Cc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,4.7
LLK201,O=C(Nc1nc(-c2ccccc2)cs1)c1ccc(C(F)(F)F)cc1NS(=O)(=O)c1cccc2ccccc12,4.8
LLK102,COc1ccc(C(=O)Nc2nc(-c3ccccc3)cs2)c(NS(=O)(=O)c2cccnc2)c1,5.3
